,cps19_fed_gov_sat,cps19_spend_env,cps19_fed_id,cps19_province,cps19_education,cps19_age,cps19_imp_iss_party
16752,Fairly satisfied,Spend more,Don't know/ Prefer not to answer,Ontario,"Completed technical, community college, CEGEP, College Classique",63,Another party (please specify)
16753,Fairly satisfied,Spend about the same as now,Don't know/ Prefer not to answer,Quebec,Professional degree or doctorate,31,Liberal Party
16754,Not at all satisfied,Spend about the same as now,Conservative,Ontario,Master's degree,53,Conservative Party
16755,Not at all satisfied,Spend more,ndp,Ontario,Completed secondary/ high school,36,Don't know/ Prefer not to answer
16756,Fairly satisfied,Spend more,ndp,Alberta,Completed secondary/ high school,27,ndp
16757,Fairly satisfied,Spend more,Don't know/ Prefer not to answer,British Columbia,Some university,20,Don't know/ Prefer not to answer
16758,Fairly satisfied,Spend more,None of these,Nova Scotia,Master's degree,65,Liberal Party
16759,Fairly satisfied,Spend about the same as now,Liberal,Quebec,Completed secondary/ high school,38,Don't know/ Prefer not to answer
16760,Not very satisfied,Spend more,Liberal,Ontario,"Some technical, community college, CEGEP, College Classique",70,Liberal Party
16761,Not very satisfied,Spend more,Conservative,Ontario,Bachelor's degree,31,Conservative Party
16762,Fairly satisfied,Spend more,Liberal,Ontario,Bachelor's degree,28,ndp
16763,Very satisfied,Spend more,Liberal,Ontario,Bachelor's degree,70,Liberal Party
16764,Fairly satisfied,Spend more,ndp,British Columbia,Some university,18,
16765,Not very satisfied,Spend more,ndp,Alberta,Bachelor's degree,81,Liberal Party
16766,Not at all satisfied,Spend less,Don't know/ Prefer not to answer,Ontario,"Completed technical, community college, CEGEP, College Classique",64,Don't know/ Prefer not to answer
16767,Very satisfied,Spend more,Liberal,Ontario,Completed secondary/ high school,19,Liberal Party
16768,Not at all satisfied,Spend more,Don't know/ Prefer not to answer,New Brunswick,"Completed technical, community college, CEGEP, College Classique",55,
16769,Not very satisfied,Spend more,Liberal,Alberta,Bachelor's degree,67,Don't know/ Prefer not to answer
16770,Not very satisfied,Spend more,Don't know/ Prefer not to answer,Ontario,"Some technical, community college, CEGEP, College Classique",26,People's Party
16771,Not at all satisfied,Spend about the same as now,Don't know/ Prefer not to answer,Alberta,Some secondary/ high school,36,
16772,Not very satisfied,Spend more,ndp,Manitoba,Some university,20,ndp
16773,Not very satisfied,Spend more,Bloc Qu<e9>b<e9>cois,Quebec,Bachelor's degree,79,Bloc Qu<e9>b<e9>cois
16774,Not very satisfied,Spend about the same as now,None of these,Alberta,Bachelor's degree,31,
16775,Not at all satisfied,Spend about the same as now,Conservative,Alberta,Master's degree,44,Conservative Party
16776,Not at all satisfied,Spend more,Conservative,Ontario,Some university,65,Conservative Party
16777,Very satisfied,Spend about the same as now,Liberal,Ontario,Master's degree,35,Liberal Party
16778,Fairly satisfied,Spend more,Liberal,Ontario,"Some technical, community college, CEGEP, College Classique",66,Liberal Party
16779,Not at all satisfied,Spend more,None of these,Manitoba,Some university,20,Another party (please specify)
16780,Not at all satisfied,Spend more,Bloc Qu<e9>b<e9>cois,Quebec,Completed secondary/ high school,54,
16781,Fairly satisfied,Spend more,Conservative,Nunavut,Bachelor's degree,28,Conservative Party
16782,Not very satisfied,Spend more,Liberal,Quebec,Bachelor's degree,40,Bloc Qu<e9>b<e9>cois
16783,Not very satisfied,Spend more,Green,British Columbia,Completed secondary/ high school,26,Liberal Party
16784,Not very satisfied,Spend more,None of these,Ontario,Completed secondary/ high school,21,ndp
16785,Not at all satisfied,Spend about the same as now,Conservative,Saskatchewan,Some secondary/ high school,38,
16786,Very satisfied,Spend more,Don't know/ Prefer not to answer,Ontario,Completed secondary/ high school,61,Liberal Party
16787,Fairly satisfied,Spend more,Liberal,Ontario,Some university,69,Liberal Party
16788,Fairly satisfied,Spend more,Don't know/ Prefer not to answer,Ontario,Master's degree,49,Don't know/ Prefer not to answer
16789,Fairly satisfied,Spend more,None of these,Alberta,Bachelor's degree,30,Conservative Party
16790,Fairly satisfied,Spend about the same as now,Don't know/ Prefer not to answer,Ontario,"Completed technical, community college, CEGEP, College Classique",49,
